clone_materializer_reference_count,descriptor_count,descriptor_preview_count,descriptor_preview_truncated_count,function_end_va,function_start_va,sample_descriptors,sample_rtti_names,sample_setup_refs,setup_reference_count
4,4,4,0,0x14059f0e5,0x14059e45b,0x140b991a8;0x140b991d8;0x140b99208;0x140b99268,.?AV<lambda_3af932e05ff537adcdfb46ae927ebfe3>@@;.?AV<lambda_0be85a51ad7e3853fb7d520fd6f677a5>@@;.?AV<lambda_81c141eb63bd94c261003b8721d82ea4>@@;.?AV<lambda_cb4892f7233ccee32044ffcc82d806a4>@@,0x14059ecb3;0x14059ecdf;0x14059ef5c;0x14059ebe4,4
3,3,3,0,0x140024b41,0x140024640,0x140b5d8d8;0x140b5d908;0x140b5d938,.?AV<lambda_c8b708cbb15486811bd35b4ed7f18ae6>@@;.?AV<lambda_542a6983eea496f1db574cfb8817790f>@@;.?AV<lambda_1dfd4f1db1afc81b97701dcd1dd0325d>@@,0x140024b02;0x140024aef;0x140024ad5,3
3,3,3,0,0x140036977,0x140035c79,0x140b5e430;0x140b5e460;0x140b5e490,.?AV<lambda_0dfaa31fbdd3ecc33c767cd4f93ae4d9>@@;.?AV<lambda_d258702d33d7085641dc9bdcb3772ac6>@@;.?AV<lambda_52ca5f99f73134d3f8316c258e62a77c>@@,0x140036579;0x140035f89;0x1400361b8,3
3,3,3,0,0x1400ccffc,0x1400cca20,0x140b61b60;0x140b61b90;0x140b69f60,.?AV<lambda_d6cd928b452babef5283fd668701e83e>@@;.?AV<lambda_c74a2b388c4e6a40ad75a9ef6cef1f83>@@;.?AV<lambda_1c0912e66ea3e9e060a1ff385426fd24>@@,0x1400cce80;0x1400cce40;0x1400ccd53,3
3,3,3,0,0x140193215,0x140192fb0,0x140b6c508;0x140b6c538;0x140b6c568,.?AV<lambda_ba1c4b3b2e23b3ac22e103959798edc5>@@;.?AV<lambda_0e409a18aef4d64319fb6cbef2feed6c>@@;.?AV<lambda_fbbe8d13580bf9b04ef0ecc8b2894cd8>@@,0x1401930e6;0x1401930a9;0x140193078,3
3,3,3,0,0x140205a56,0x140205130,0x140b72600;0x140b726c0;0x140b72738,.?AV<lambda_edecfbce6b857c350a3a88f55d7ecac5>@@;.?AV<lambda_617d3f5e20af07bac49dd385ea40e783>@@;.?AV<lambda_fff8dff9fae9a588d36a058f6634cf9a>@@,0x14020569b;0x1402054eb;0x1402055bf,3
3,3,3,0,0x1403e1db4,0x1403e1990,0x140b85738;0x140b85768;0x140b85798,.?AV<lambda_469e8be64149428fb14b02d975c384c8>@@;.?AV<lambda_2bace4471d57294b5d03fb0b81a6e4ff>@@;.?AV<lambda_f540d1a1dc88faeaaaef0aa98dd69651>@@,0x1403e1c6e;0x1403e1b56;0x1403e1a49,3
3,3,3,0,0x1403e209a,0x1403e1de0,0x140b856d8;0x140b85708;0x140b85918,.?AV<lambda_e6a21b76f73d66b527a0de0ed74ca82f>@@;.?AV<lambda_d895bab1b405e0aa3a61fb5f032f3f53>@@;.?AV<lambda_24dace9fb026e011cc43d2b2720babc0>@@,0x1403e1fd0;0x1403e1f80;0x1403e2020,3
2,2,2,0,0x14001f7a6,0x14001f560,0x140b5d800;0x140b5d860,.?AV<lambda_0a2816c38e7671698154519ba5fc28ea>@@;.?AV<lambda_331908113fba67fcf1a512112eeb727c>@@,0x14001f6c5;0x14001f5fe,2
2,2,2,0,0x1400c7159,0x1400c6fe0,0x140b61b00;0x140b61b30,.?AV<lambda_02923f10ad229da09aa7c8b2c627f52a>@@;.?AV<lambda_7cacdbe772abea0af87f470d557d5263>@@,0x1400c710a;0x1400c711f,2
2,2,2,0,0x1400cfd29,0x1400cfb60,0x140b69d98;0x140b69dc8,.?AV<lambda_f95eb019dd9640f78b755a94781cf2af>@@;.?AV<lambda_887d83fb027b218c28da826d60545bb7>@@,0x1400cfc2e;0x1400cfc79,2
2,2,2,0,0x14018e45c,0x14018e0a0,0x140b6c7d8;0x140b859d8,.?AV<lambda_01dc2407ca890b14dd82246dbcf2f505>@@;.?AV<lambda_2d406f6eb985f9859b29a694b5fee604>@@,0x14018e19f;0x14018e0ef,2
2,2,2,0,0x140192fa2,0x140191c70,0x140b8eb78;0x140b8eba8,.?AV<lambda_46c52314b867757bf64918f2cdf39c58>@@;.?AV<lambda_0880f3134cf693ee1a2bfeb5323173d2>@@,0x14019256e;0x140192544,2
2,2,2,0,0x140197bf6,0x140196f00,0x140b6c5f8;0x140b6c628,.?AV<lambda_0ad327d124645a43deeadc4a96687194>@@;.?AV<lambda_89e649e6af9d3a106e0b1475ad13859c>@@,0x140197a94;0x140196f92,2
2,2,2,0,0x1403b8d05,0x1403b84d6,0x140b83648;0x140b93c00,.?AV<lambda_c5e0bf75ebc28e5de6d68207272fd393>@@;.?AV<lambda_c81ec27cc3478bddf2d90d9fa7f6bf83>@@,0x1403b8ab2;0x1403b87a0,2
